title:Spriggys Wishlist v11_5_7Plus
dimwishlist:item=601592879&perks=1840239774,3400784728,2848615171#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=1482024992,679225683,3400784728,1015611457#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=1482024992,2420895100,3400784728,2848615171#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=3250034553,1561002382,1359896290,1015611457#notes:Upvp8 MW Handling
dimwishlist:item=601592879&perks=3250034553,1885400500,1890422124,1015611457#notes:Upvp8 MW Handling
dimwishlist:item=601592879&perks=3250034553,679225683,3400784728,2848615171#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=1392496348,1561002382,1890422124,1015611457#notes:Upvp8 MW Handling
dimwishlist:item=601592879&perks=1392496348,679225683,2387244414,2848615171#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=1561002382,1890422124,1015611457#notes:Upvp8 MW Handling
dimwishlist:item=601592879&perks=679225683,3400784728,2848615171#notes:Upve8 MW Reload
dimwishlist:item=601592879&perks=1840239774,679225683,2387244414,1015611457#notes:Upve7.5 MW Reload
dimwishlist:item=601592879&perks=1840239774,2420895100,2387244414,2848615171#notes:Upve7.5 MW Reload
dimwishlist:item=601592879&perks=1482024992,1561002382,2387244414,1015611457#notes:Upvp7.5 MW Handling
dimwishlist:item=601592879&perks=1482024992,1885400500,1359896290,1015611457#notes:Upvp7.5 MW Handling
dimwishlist:item=601592879&perks=1482024992,679225683,1890422124,1015611457#notes:Upvp7.5 MW Handling
dimwishlist:item=601592879&perks=1482024992,679225683,2387244414,2848615171#notes:Upve7.5 MW Reload
dimwishlist:item=601592879&perks=1482024992,2420895100,1890422124,1015611457#notes:Upvp7.5 MW Handling
dimwishlist:item=601592879&perks=1482024992,1890422124,1015611457#notes:Upvp7.5 MW Handling
dimwishlist:item=601592879&perks=1392496348,1561002382,3400784728,2848615171#notes:Upve7.5 MW Reload
dimwishlist:item=601592879&perks=1392496348,1885400500,3400784728,2848615171#notes:Upve7.5 MW Reload
dimwishlist:item=601592879&perks=1392496348,679225683,3400784728,2213355989#notes:Upve7.5 MW Reload
dimwishlist:item=601592879&perks=1392496348,2420895100,3400784728,1015611457#notes:Upve7.5 MW Reload
dimwishlist:item=601592879&perks=1392496348,3400784728,2848615171#notes:Upve7.5 MW Reload
dimwishlist:item=601592879&perks=1840239774,1561002382,1890422124,2848615171#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1840239774,1561002382,1890422124,2213355989#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1840239774,1561002382,1890422124#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1840239774,1561002382,3400784728,1015611457#notes:Upve7, Upvp7 MWpve Reload, MWpvp Handling
dimwishlist:item=601592879&perks=1840239774,1561002382,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1840239774,1885400500,2387244414,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1840239774,1885400500,3400784728,1015611457#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1840239774,679225683,1890422124,2848615171#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1840239774,679225683,1359896290,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1840239774,679225683,1359896290,2848615171#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1840239774,679225683,3400784728#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1840239774,679225683,2848615171#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1840239774,2420895100,1359896290,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1840239774,2420895100,3400784728,2213355989#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1840239774,1359896290,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1840239774,3400784728,1015611457#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1482024992,1561002382,3400784728,2848615171#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1482024992,1885400500,3400784728,2848615171#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1482024992,679225683,3400784728,2213355989#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1482024992,2420895100,3400784728,1015611457#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1482024992,3400784728,2848615171#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=3250034553,1561002382,2387244414,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=3250034553,1885400500,1359896290,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=3250034553,679225683,1890422124,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=3250034553,679225683,3400784728,1015611457#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=3250034553,2420895100,1890422124,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=3250034553,2420895100,3400784728,2848615171#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=3250034553,1890422124,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1392496348,1561002382,1359896290,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1392496348,1885400500,1890422124,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1392496348,679225683,2387244414,1015611457#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1392496348,2420895100,2387244414,2848615171#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=1561002382,1359896290,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=1885400500,1890422124,1015611457#notes:Upvp7 MW Handling
dimwishlist:item=601592879&perks=679225683,3400784728,1015611457#notes:Upve7 MW Reload
dimwishlist:item=601592879&perks=2420895100,3400784728,2848615171#notes:Upve7 MW Reload


//Anonymous Autumn - U
//=================PvE=================
//Barrel
//2.0:445755707:QuickDot SAS
//1.5:445755706:Control SAS
//1.0:445755705:ShortSpec SAS
//Magazine
//2.0:1561002382:High-Caliber Rounds
//1.5:1087426260:Appended Mag
//1.0:2420895100:Extended Mag
//Perk 1
//3.0:1168162263:Outlaw
//2.0:4267945040:Full Auto Trigger System
//1.0:706527188:Quickdraw
//Perk 2
//3.0:1015611457:Kill Clip
//2.0:3425386926:Rampage
//MW Handling or Reload
//=================PvP=================
//Barrel
//2.0:445755704:Tactic SAS
//1.5:445755707:QuickDot SAS
//1.0:445755706:Control SAS
//Magazine
//2.0:1885400500:Ricochet Rounds
//1.0:1561002382:High-Caliber Rounds
//Perk 1
//3.0:706527188:Quickdraw
//2.0:588594999:Moving Target
//1.0:4267945040:Full Auto Trigger System
//Perk 2
//3.0:2846385770:Rangefinder
//2.0:1015611457:Kill Clip
//1.0:47981717:Opening Shot
//MW Range
//=================Wishlist=================
dimwishlist:item=3222518097&perks=445755704,1885400500,706527188,2846385770#notes:Upvp10 MW Range
dimwishlist:item=3222518097&perks=445755707,1561002382,1168162263,1015611457#notes:Upve10 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1885400500,706527188,2846385770#notes:Upvp9.5 MW Range
dimwishlist:item=3222518097&perks=445755707,1087426260,1168162263,1015611457#notes:Upve9.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1561002382,1168162263,1015611457#notes:Upve9.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755704,1885400500,706527188,1015611457#notes:Upvp9 MW Range
dimwishlist:item=3222518097&perks=445755704,1885400500,588594999,2846385770#notes:Upvp9 MW Range
dimwishlist:item=3222518097&perks=445755704,1561002382,706527188,2846385770#notes:Upvp9 MW Range
dimwishlist:item=3222518097&perks=445755707,1561002382,4267945040,1015611457#notes:Upve9 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1561002382,1168162263,3425386926#notes:Upve9 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,2420895100,1168162263,1015611457#notes:Upve9 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1885400500,706527188,2846385770#notes:Upvp9 MW Range
dimwishlist:item=3222518097&perks=445755706,1087426260,1168162263,1015611457#notes:Upve9 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755705,1561002382,1168162263,1015611457#notes:Upve9 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1885400500,706527188,1015611457#notes:Upvp8.5 MW Range
dimwishlist:item=3222518097&perks=445755707,1885400500,588594999,2846385770#notes:Upvp8.5 MW Range
dimwishlist:item=3222518097&perks=445755707,1561002382,706527188,2846385770#notes:Upvp8.5 MW Range
dimwishlist:item=3222518097&perks=445755707,1087426260,4267945040,1015611457#notes:Upve8.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1087426260,1168162263,3425386926#notes:Upve8.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1561002382,4267945040,1015611457#notes:Upve8.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1561002382,1168162263,3425386926#notes:Upve8.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,2420895100,1168162263,1015611457#notes:Upve8.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755705,1087426260,1168162263,1015611457#notes:Upve8.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755704,1885400500,706527188,47981717#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755704,1885400500,588594999,1015611457#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755704,1885400500,4267945040,2846385770#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755704,1561002382,706527188,1015611457#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755704,1561002382,588594999,2846385770#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755704,1561002382,1168162263,1015611457#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755704,1087426260,706527188,2846385770#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755704,2420895100,706527188,2846385770#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755704,706527188,2846385770#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755707,1885400500,1168162263,1015611457#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1561002382,706527188,1015611457#notes:Upve8, Upvp7.5 MWpve Handling or Reload, MWpvp Range
dimwishlist:item=3222518097&perks=445755707,1561002382,4267945040,3425386926#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,2420895100,4267945040,1015611457#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,2420895100,1168162263,3425386926#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1168162263,1015611457#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1885400500,706527188,1015611457#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755706,1885400500,588594999,2846385770#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755706,1561002382,706527188,2846385770#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755706,1087426260,4267945040,1015611457#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1087426260,1168162263,3425386926#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755705,1885400500,706527188,2846385770#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=445755705,1561002382,4267945040,1015611457#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755705,1561002382,1168162263,3425386926#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755705,2420895100,1168162263,1015611457#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=1885400500,706527188,2846385770#notes:Upvp8 MW Range
dimwishlist:item=3222518097&perks=1561002382,1168162263,1015611457#notes:Upve8 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755704,1087426260,1168162263,1015611457#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1885400500,706527188,47981717#notes:Upvp7.5 MW Range
dimwishlist:item=3222518097&perks=445755707,1885400500,588594999,1015611457#notes:Upvp7.5 MW Range
dimwishlist:item=3222518097&perks=445755707,1885400500,4267945040,2846385770#notes:Upvp7.5 MW Range
dimwishlist:item=3222518097&perks=445755707,1561002382,588594999,2846385770#notes:Upvp7.5 MW Range
dimwishlist:item=3222518097&perks=445755707,1087426260,706527188,2846385770#notes:Upvp7.5 MW Range
dimwishlist:item=3222518097&perks=445755707,1087426260,706527188,1015611457#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1087426260,4267945040,3425386926#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,2420895100,706527188,2846385770#notes:Upvp7.5 MW Range
dimwishlist:item=3222518097&perks=445755707,706527188,2846385770#notes:Upvp7.5 MW Range
dimwishlist:item=3222518097&perks=445755706,1885400500,1168162263,1015611457#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1561002382,706527188,1015611457#notes:Upve7.5, Upvp7 MWpve Handling or Reload, MWpvp Range
dimwishlist:item=3222518097&perks=445755706,1561002382,4267945040,3425386926#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,2420895100,4267945040,1015611457#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,2420895100,1168162263,3425386926#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1168162263,1015611457#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755705,1087426260,4267945040,1015611457#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755705,1087426260,1168162263,3425386926#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=1087426260,1168162263,1015611457#notes:Upve7.5 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755704,1885400500,706527188,3425386926#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1885400500,706527188#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1885400500,588594999,47981717#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1885400500,4267945040,1015611457#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1885400500,1168162263,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1885400500,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1561002382,706527188,47981717#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1561002382,588594999,1015611457#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1561002382,4267945040,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1561002382,4267945040,1015611457#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755704,1561002382,1168162263,3425386926#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755704,1087426260,706527188,1015611457#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,1087426260,588594999,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,2420895100,706527188,1015611457#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,2420895100,588594999,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,2420895100,1168162263,1015611457#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755704,706527188,1015611457#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755704,588594999,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755707,1885400500,4267945040,1015611457#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1885400500,1168162263,3425386926#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1561002382,706527188,3425386926#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1561002382,588594999,1015611457#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1561002382,1168162263,2846385770#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1561002382,1168162263,47981717#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1561002382,1168162263#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1561002382,1015611457#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,2420895100,706527188,1015611457#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,2420895100,4267945040,3425386926#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,4267945040,1015611457#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755707,1168162263,3425386926#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1885400500,706527188,47981717#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755706,1885400500,588594999,1015611457#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755706,1885400500,4267945040,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755706,1561002382,588594999,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755706,1087426260,706527188,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755706,1087426260,706527188,1015611457#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,1087426260,4267945040,3425386926#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755706,2420895100,706527188,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755706,706527188,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755705,1885400500,706527188,1015611457#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755705,1885400500,588594999,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755705,1885400500,1168162263,1015611457#notes:Upve7 MW Handling or Reload
dimwishlist:item=3222518097&perks=445755705,1561002382,706527188,2846385770#notes:Upvp7 MW Range
dimwishlist:item=3222518097&perks=445755705,1561002382,706527188,1015611457#notes:Upve7 MW Handling or Reload
